,Month,P1,P2,P3,P4,P5,P6,Total_amount
0,2020-11,0.0,0.0,0.0,266.996,6.712,45.046,318.754
1,2020-12,0.0,0.0,408.848,35.948,0.0,94.418,539.214
2,2021-01,0.0,0.0,405.864,28.788,0.0,80.099,514.751
3,2021-02,0.0,0.0,345.604,14.319,0.0,55.786,415.709
4,2021-03,0.0,0.0,0.0,303.988,2.088,49.969,356.045
5,2021-04,0.0,0.0,0.0,299.364,4.922,58.918,363.204
6,2021-05,0.0,598.281,66.525,0.0,0.0,71.746,736.552
7,2021-06,1528.89,1016.227,0.0,0.0,0.0,637.062,3182.179
8,2021-07,1794.991,1262.192,0.0,0.0,0.0,1005.04,4062.223
9,2021-08,1712.655,1269.948,0.0,0.0,0.0,1085.437,4068.04
10,2021-09,1654.035,1094.089,0.0,0.0,0.0,738.64,3486.764
11,2021-10,0.0,1107.811,477.163,0.0,0.0,192.864,1777.838
12,2021-11,0.0,0.0,0.0,199.427,23.12,52.803,275.35
